Iteration	Posterior	Likelihood	Prior	alpha_seq	branch_rates	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	omega	origin_time	p_inv	rates_seq[1]	rates_seq[2]	rates_seq[3]	rates_seq[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
41	1778.581	-512.4106	2290.992	0.2473066	0.001190105	0.001190105	-0.02645946	0.136292	0.300934	0.0396498	0.0232748	0.432001	0.0678484	0.4442946	2.316925	41.93195	0.7981643	0.0019886	0.0647519	0.495771	3.43749	0.19493	0.208296	0.289302	0.307472	0.4178351	1.063325
42	1781.717	-509.6938	2291.411	0.3594125	0.001131728	0.001131728	-0.02891238	0.126528	0.303574	0.0468041	0.0210525	0.433598	0.0684436	0.4464272	2.72121	42.69615	0.6815161	0.0113206	0.150856	0.683342	3.15448	0.198556	0.229568	0.258685	0.313192	0.4175148	1.069249
43	1780.274	-510.8053	2291.079	0.4295905	0.001086247	0.001086247	-0.02895943	0.140996	0.22738	0.052156	0.020021	0.483178	0.0762699	0.4478705	2.662628	42.2776	0.6815161	0.0212045	0.203494	0.761413	3.01389	0.183162	0.21177	0.316158	0.288911	0.4189111	1.06913
44	1778.142	-512.3614	2290.503	0.3573288	0.001032979	0.001032979	-0.03573384	0.148074	0.202291	0.0547742	0.0210261	0.507433	0.0664023	0.4579348	2.662628	41.73654	0.6815161	0.0110701	0.149243	0.680646	3.15904	0.186092	0.215157	0.321215	0.277536	0.422201	1.084637
45	1777.42	-509.5732	2286.993	0.3411864	0.001160831	0.001160831	-0.05142929	0.148074	0.202291	0.0547742	0.0210261	0.507433	0.0664023	0.4579348	2.662628	40.43007	0.8086846	0.00922234	0.136689	0.65891	3.19518	0.193909	0.224195	0.292703	0.289194	0.4065055	1.126516
46	1777.194	-513.5278	2290.722	0.395652	0.001868614	0.001868614	-0.07197716	0.146509	0.200153	0.0541953	0.0313725	0.50207	0.0657005	0.4784827	2.53795	40.40635	0.8404569	0.0160922	0.178501	0.726532	3.07887	0.193909	0.224195	0.292703	0.289194	0.4065055	1.177063
47	1779.964	-511.5689	2291.533	0.6409662	0.001686563	0.001686563	0.1000516	0.119535	0.298402	0.0269389	0.0364318	0.446481	0.0722114	0.3467195	2.311645	40.16265	0.8404569	0.0616524	0.334292	0.900861	2.70319	0.186017	0.254704	0.276073	0.283205	0.4467711	0.7760563
48	1779.567	-510.7831	2290.35	0.6556992	0.002331174	0.002331174	0.03436757	0.109571	0.23599	0.140628	0.033395	0.409264	0.0711523	0.3545245	2.311645	40.22372	0.8404569	0.0647627	0.341856	0.907277	2.6861	0.206377	0.239413	0.276376	0.277835	0.3888921	0.911627
49	1780.561	-509.7644	2290.326	0.720692	0.002323226	0.002323226	0.03568656	0.10899	0.234737	0.139881	0.0263097	0.407092	0.08299	0.3697585	2.405534	39.20421	0.8404569	0.0786124	0.373132	0.932301	2.61595	0.204885	0.237683	0.274379	0.283053	0.4054451	0.9119818
50	1777.048	-511.9384	2288.986	1.034522	0.001927299	0.001927299	0.08171038	0.0845657	0.182134	0.108535	0.0198124	0.540561	0.0643924	0.3237347	2.4237	40.4147	0.8404569	0.14379	0.486888	1.00549	2.36383	0.190976	0.232046	0.300637	0.276341	0.4054451	0.7984675
51	1779.631	-509.2713	2288.902	1.068789	0.001920937	0.001920937	0.0725686	0.115411	0.248567	0.130239	0.0270389	0.41561	0.0631335	0.312331	2.38855	40.15544	0.7621592	0.150471	0.496494	1.01052	2.34251	0.190976	0.232046	0.300637	0.276341	0.3848996	0.811461
52	1779.328	-510.9746	2290.302	1.099614	0.001920937	0.001920937	0.06141969	0.109157	0.209648	0.109847	0.0297631	0.4891	0.052485	0.3254795	2.490915	40.21257	0.7621592	0.15639	0.504774	1.01473	2.32411	0.190976	0.232046	0.300637	0.276341	0.3868991	0.8412514
53	1778.237	-508.7152	2286.952	0.771371	0.001920937	0.001920937	-0.03370123	0.106141	0.165453	0.122557	0.0315604	0.518635	0.0556543	0.3217721	2.074957	39.94075	0.8130074	0.0894539	0.395347	0.948695	2.5665	0.201241	0.244519	0.263046	0.291194	0.2880709	1.116989
54	1774.882	-511.4608	2286.343	0.7533776	0.001233378	0.001233378	-0.01266225	0.144898	0.17127	0.169366	0.0347425	0.392686	0.0870381	0.3217721	2.107506	40.107	0.462622	0.0856071	0.387664	0.943149	2.58358	0.209631	0.255115	0.257935	0.277319	0.3091099	1.040964
55	1775.158	-512.3818	2287.539	0.7395868	0.001299222	0.001299222	-0.006941965	0.148481	0.175505	0.134752	0.0262224	0.42585	0.0891901	0.3190605	2.107506	39.96232	0.6033271	0.0826562	0.381625	0.938699	2.59702	0.165427	0.232578	0.290098	0.311898	0.3121185	1.022241
56	1772.908	-513.7887	2286.697	0.7766836	0.001379639	0.001379639	0.01385013	0.154061	0.182101	0.139817	0.0272079	0.441855	0.0549583	0.2665886	2.107506	39.33807	0.8369282	0.0905885	0.397574	0.950279	2.56156	0.178385	0.250797	0.312823	0.257995	0.2804388	0.9506126
57	1774.925	-512.7659	2287.691	0.7658334	0.001397251	0.001397251	0.03239007	0.135466	0.298166	0.12601	0.0239239	0.388522	0.0279119	0.2605196	2.276148	39.22083	0.02693152	0.0882706	0.393006	0.947019	2.5717	0.250744	0.228869	0.249926	0.270462	0.2929096	0.8894196
58	1772.719	-513.5264	2286.246	0.7658334	0.001265257	0.001265257	0.03887246	0.136475	0.318632	0.101256	0.024102	0.391415	0.0281198	0.2423228	2.280742	39.89242	0.02693152	0.0882706	0.393006	0.947019	2.5717	0.202122	0.231193	0.298409	0.268276	0.2811952	0.8617599
59	1771.695	-514.7547	2286.45	0.7376204	0.000946341	0.000946341	0.04648313	0.13554	0.31645	0.100563	0.025901	0.388734	0.0328121	0.2408822	2.318656	38.97329	0.02693152	0.0822353	0.380753	0.93805	2.59896	0.237885	0.230813	0.295549	0.235753	0.2873653	0.8382437
60	1774.604	-511.5773	2286.182	0.355974	0.0008690062	0.0008690062	0.05841579	0.157383	0.411501	0.116769	0.0300751	0.230454	0.0538183	0.2277221	2.981754	39.17895	0.02693152	0.0109086	0.148193	0.678881	3.16202	0.209663	0.254158	0.260485	0.275694	0.2861379	0.7958474
61	1773.781	-512.8998	2286.681	0.3039505	0.001022688	0.001022688	0.03639046	0.155974	0.329744	0.183529	0.0327653	0.241573	0.056415	0.2377641	2.843281	38.90764	0.09500913	0.00562124	0.107572	0.602378	3.28443	0.209663	0.254158	0.260485	0.275694	0.2741545	0.867263
62	1775.749	-512.1203	2287.869	0.2963455	0.0006773092	0.0006773092	0.05053282	0.167868	0.354891	0.13218	0.024348	0.259995	0.0607172	0.2236217	2.935747	39.49597	0.09500913	0.00500355	0.101655	0.589614	3.30373	0.221401	0.203433	0.287641	0.287524	0.2741545	0.8156776
63	1777.283	-509.0116	2286.295	0.2969884	0.001049763	0.001049763	0.05265207	0.145775	0.308184	0.114785	0.0211436	0.357386	0.0527263	0.2215025	2.19922	38.97974	0.1747919	0.00505419	0.102154	0.59071	3.30208	0.219464	0.201653	0.285124	0.293759	0.2741545	0.8079475
64	1774.806	-509.2823	2284.088	0.155574	0.001050706	0.001050706	0.01703582	0.1387	0.308721	0.124965	0.0374068	0.34004	0.0501673	0.2124758	2.25448	39.05033	0.1747919	7.38526e-05	0.0126855	0.258568	3.72867	0.21108	0.258305	0.248079	0.282537	0.2295116	0.9257736
65	1773.295	-513.3408	2286.636	0.1598597	0.001027429	0.001027429	0.04438173	0.105771	0.286398	0.175098	0.0341882	0.347306	0.0512392	0.2121407	2.247773	39.01593	0.4134073	9.37217e-05	0.0142815	0.271324	3.7143	0.220305	0.183869	0.28418	0.311647	0.2565224	0.826987
