Iteration	Posterior	Likelihood	Prior	alpha_seq	branch_rates	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	omega	origin_time	p_inv	rates_seq[1]	rates_seq[2]	rates_seq[3]	rates_seq[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
58	436.8382	-1098.914	1535.753	0.4557189	0.003661804	0.003661804	0.0469784	0.0888771	0.247404	0.117115	0.0293676	0.418695	0.0985411	0.3609485	0.5427966	66.65414	0.4597823	0.0255043	0.222028	0.785168	2.9673	0.214202	0.213231	0.303934	0.268633	0.4079269	0.8848362
59	438.0191	-1097.204	1535.223	0.4382338	0.003661804	0.003661804	0.05734049	0.08939	0.230948	0.129904	0.0295371	0.421111	0.0991098	0.3604318	0.5428077	67.26957	0.4597823	0.0225944	0.209696	0.769548	2.99816	0.218753	0.22597	0.270595	0.284682	0.4177723	0.862747
60	441.4926	-1096.912	1538.404	0.3972204	0.003682806	0.003682806	0.03920647	0.0866813	0.255308	0.125968	0.0275858	0.408351	0.0961065	0.3618716	0.5471277	66.94168	0.4109264	0.0163155	0.179677	0.728255	3.07575	0.218753	0.22597	0.270595	0.284682	0.401078	0.9022473
61	435.9458	-1099.959	1535.905	0.3957426	0.003505252	0.003505252	0.02049887	0.0917353	0.24286	0.127383	0.0278958	0.41294	0.0971865	0.3766754	0.5429545	67.50747	0.467874	0.016105	0.178569	0.726632	3.07869	0.218753	0.22597	0.270595	0.284682	0.3971743	0.9483882
62	439.877	-1095.004	1534.881	0.3713553	0.003505252	0.003505252	0.04627893	0.0430238	0.255885	0.134215	0.0293919	0.435086	0.102399	0.3574788	0.5604152	67.82548	0.467874	0.0128081	0.160057	0.698325	3.12881	0.226494	0.233966	0.244783	0.294756	0.4037577	0.8853794
63	441.0259	-1096.701	1537.727	0.4674884	0.003505488	0.003505488	0.03852297	0.0372939	0.257417	0.135018	0.0295678	0.437691	0.103012	0.3652347	0.6292084	67.65413	0.467874	0.027532	0.230162	0.79509	2.94722	0.215753	0.204771	0.277293	0.302183	0.4037577	0.9045889
64	437.1676	-1101.429	1538.597	0.4674884	0.003373155	0.003373155	0.03384036	0.0396073	0.273385	0.138632	0.0280047	0.438882	0.0814891	0.3699173	0.5590042	68.42923	0.467874	0.027532	0.230162	0.79509	2.94722	0.204007	0.193624	0.262197	0.340172	0.4037577	0.9161865
65	443.1861	-1095.151	1538.337	0.4674884	0.003621227	0.003621227	0.03281069	0.0408913	0.247863	0.218944	0.0281451	0.39791	0.0662464	0.3823153	0.5400334	68.52734	0.4685651	0.027532	0.230162	0.79509	2.94722	0.232217	0.190634	0.258149	0.319	0.415126	0.9209621
66	448.4486	-1090.615	1539.064	0.4676374	0.003762299	0.003762299	0.03178687	0.0402824	0.27424	0.140786	0.0311402	0.440255	0.0732962	0.3833391	0.5416999	68.70408	0.4685651	0.027558	0.230264	0.795213	2.94696	0.231825	0.190313	0.257713	0.320149	0.415126	0.9234284
67	451.009	-1086.683	1537.692	0.6084599	0.00363446	0.00363446	0.02067859	0.0429154	0.279778	0.14363	0.00975436	0.449146	0.0747764	0.3602968	0.6642552	68.20361	0.4685651	0.0548575	0.316942	0.885574	2.74263	0.204705	0.285612	0.227307	0.282376	0.3809754	0.945722
