Iteration	Posterior	Likelihood	Prior	alpha_seq	branch_rates	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	omega	origin_time	p_inv	rates_seq[1]	rates_seq[2]	rates_seq[3]	rates_seq[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
58	1040.975	-648.1672	1689.142	0.4558241	0.000629124	0.000629124	0.0332021	0.0608095	0.186478	0.0988338	0.0353589	0.580961	0.0375587	0.3109009	0.719627	65.72038	0.08151267	0.0255222	0.222102	0.785259	2.96712	0.250381	0.210026	0.278751	0.260841	0.344103	0.9035112
59	1036.742	-648.7814	1685.523	0.432122	0.0006109846	0.0006109846	0.04250194	0.0516464	0.174765	0.101575	0.0363396	0.597073	0.0386004	0.3016011	0.759139	65.64912	0.1829841	0.0216081	0.205318	0.763825	3.00925	0.245683	0.213877	0.25067	0.28977	0.344103	0.8764848
60	1041.622	-646.0454	1687.667	0.432122	0.0009820475	0.0009820475	0.0346639	0.0522534	0.176819	0.102769	0.0367666	0.609492	0.0219002	0.3184478	0.7721609	64.68278	0.5828896	0.0216081	0.205318	0.763825	3.00925	0.1886	0.230063	0.269639	0.311698	0.3531117	0.9018331
61	1046.863	-642.1575	1689.02	0.4763436	0.0009740595	0.0009740595	0.03191989	0.0893549	0.178714	0.0745094	0.064352	0.572499	0.0205709	0.3176079	0.8008881	64.50992	0.5828896	0.0290914	0.236192	0.802262	2.93246	0.190984	0.227168	0.266247	0.3156	0.3495278	0.9086771
62	1047.405	-638.6704	1686.075	0.7708197	0.0009875188	0.0009875188	0.03139976	0.08487	0.169744	0.120961	0.0611221	0.543764	0.0195385	0.318128	0.7636333	64.55839	0.5828896	0.0893361	0.395115	0.948529	2.56702	0.193905	0.230643	0.28364	0.291811	0.3495278	0.9101652
63	1046.571	-644.6335	1691.205	0.5588895	0.0009875188	0.0009875188	0.03357225	0.0955414	0.0914084	0.13617	0.0676601	0.587225	0.0219952	0.318128	0.7846582	65.03448	0.5828896	0.0447557	0.288633	0.858803	2.80781	0.192439	0.209897	0.30806	0.289604	0.3517003	0.904543
64	1047.076	-643.8201	1690.896	0.6082039	0.0006232693	0.0006232693	0.06275637	0.0960533	0.114083	0.111382	0.0659977	0.590371	0.022113	0.3063954	0.7667009	65.05322	0.5828896	0.0548044	0.316802	0.885447	2.74295	0.234067	0.209719	0.307799	0.248415	0.3691517	0.8299984
65	1054.063	-641.2754	1695.338	0.6614094	0.0006243741	0.0006243741	0.02984994	0.0931746	0.127757	0.123672	0.0612692	0.572677	0.0214503	0.3063954	0.9022343	64.49784	0.5909813	0.0659722	0.344738	0.909683	2.67961	0.2195	0.258901	0.288644	0.232956	0.3362453	0.9112257
66	1052.063	-640.322	1692.385	0.6620084	0.0005961533	0.0005961533	0.06328388	0.0959249	0.119312	0.119207	0.099769	0.552002	0.013785	0.3180518	0.9331432	66.0415	0.510371	0.0660992	0.345039	0.909933	2.67893	0.228107	0.22984	0.299963	0.242091	0.3813357	0.8340468
67	1055.699	-640.6085	1696.308	0.6593285	0.0005961533	0.0005961533	0.06898378	0.0539526	0.153738	0.153603	0.128556	0.492388	0.0177624	0.3169675	0.9363173	67.27607	0.510371	0.0655312	0.343691	0.908811	2.68197	0.228377	0.229759	0.299858	0.242006	0.3859512	0.821263
68	1056.939	-639.0171	1695.956	0.6593285	0.0006759105	0.0006759105	-0.01503785	0.0781036	0.187081	0.142457	0.119227	0.456658	0.0164735	0.4009891	1.031429	69.03984	0.1731332	0.0655312	0.343691	0.908811	2.68197	0.186306	0.223021	0.299058	0.291615	0.3859512	1.038963
69	1060.589	-638.0165	1698.606	0.3692948	0.0009650237	0.0009650237	0.01748966	0.0513694	0.187086	0.18684	0.130061	0.42817	0.016474	0.4061067	0.9937276	69.43589	0.3679884	0.0125453	0.158475	0.695795	3.13318	0.186306	0.223021	0.299058	0.291615	0.4235964	0.9587115
70	1060.762	-636.6663	1697.428	0.369395	0.001034923	0.001034923	0.01917931	0.0470865	0.143009	0.223759	0.0995596	0.472103	0.0144829	0.4061067	0.7649614	70.14384	0.3679884	0.012558	0.158552	0.695919	3.13297	0.228826	0.211367	0.283431	0.276376	0.425286	0.9549026
71	1060.668	-635.184	1695.852	0.5846205	0.001077319	0.001077319	0.01809177	0.0519764	0.157861	0.143146	0.109899	0.521131	0.015987	0.4071943	0.7649614	70.74227	0.3679884	0.0499523	0.303615	0.873265	2.77317	0.228826	0.211367	0.283431	0.276376	0.425286	0.9574598
72	1057.244	-636.2455	1693.49	0.7599463	0.001039499	0.001039499	0.007458427	0.0513043	0.228513	0.141295	0.0487144	0.514392	0.0157803	0.3956274	0.7103395	70.76695	0.3679884	0.0870121	0.390494	0.945207	2.57729	0.226619	0.209328	0.290343	0.27371	0.4030858	0.9814967
73	1055.85	-635.9089	1691.759	0.7944891	0.000990853	0.000990853	0.0176614	0.0643153	0.226099	0.132827	0.0783596	0.483565	0.0148346	0.3864731	0.9554147	69.95836	0.3679884	0.0943855	0.404906	0.955416	2.54529	0.237252	0.219149	0.257047	0.286552	0.4041345	0.9562982
74	1047.096	-642.4427	1689.539	1.75773	0.0007516181	0.0007516181	0.05391382	0.0703295	0.247241	0.145248	0.212893	0.308107	0.016182	0.3489734	0.950589	70.14951	0.3679884	0.262534	0.626502	1.06255	2.04841	0.236904	0.220293	0.25667	0.286132	0.4028872	0.8661813
75	1051.529	-639.2961	1690.825	1.752665	0.0007976225	0.0007976225	0.07628322	0.0588648	0.224458	0.133253	0.178188	0.391691	0.0135441	0.326604	0.9459272	70.10597	0.3679884	0.26185	0.625841	1.06236	2.04995	0.204003	0.255577	0.255544	0.284876	0.4028872	0.8106586
76	1052.298	-638.3002	1690.598	1.752665	0.0007487753	0.0007487753	0.06979935	0.0691472	0.234411	0.139162	0.129291	0.409059	0.0189299	0.3299978	0.9459272	69.52149	0.3679884	0.26185	0.625841	1.06236	2.04995	0.221938	0.278047	0.229677	0.270338	0.3997971	0.8254131
77	1055.481	-636.3424	1691.823	1.406746	0.0007541878	0.0007541878	0.04600222	0.0898118	0.286902	0.0848578	0.120406	0.38095	0.0370723	0.3413316	0.8702541	69.56195	0.3679884	0.210551	0.572261	1.04444	2.17275	0.219956	0.267656	0.229775	0.282613	0.3873339	0.8812337
78	1054.924	-635.9156	1690.84	1.024079	0.0008246817	0.0008246817	0.04281327	0.0570631	0.296384	0.0903316	0.124385	0.393539	0.0382974	0.3413316	0.8743976	70.6915	0.3679884	0.141733	0.483872	1.00388	2.37052	0.244021	0.187532	0.254914	0.313533	0.3841449	0.8885492
79	1049.861	-637.0081	1686.869	1.521839	0.000658828	0.000658828	0.06238736	0.0536207	0.278504	0.122391	0.116882	0.378892	0.0497105	0.3242657	0.789813	70.22748	0.3509097	0.228677	0.592152	1.05168	2.12749	0.191228	0.215156	0.266201	0.327415	0.386653	0.8386477
80	1047.213	-642.4063	1689.619	1.116509	0.0009414687	0.0009414687	0.06345076	0.0703889	0.379535	0.100803	0.0962663	0.312063	0.0409426	0.3232023	0.789813	69.44142	0.7248258	0.159597	0.509173	1.01691	2.31432	0.23991	0.203161	0.247767	0.309162	0.386653	0.8358974
