"","Lineage code","Ancestor code","Start date","End date","Species in lineage"
"298","T31","N30",14.6,14.2,"Globorotalia archeomenardii"
"299","T313","F77990",30.6567662177584,30.3,"Subbotina linaperta-Subbotina utilisindex"
"300","T316","F90632",3.90987232330255,0,"Turborotalita quinqueloba"
"301","T317","F90541",2.184062543733,0,"Turborotalita humilis-Turborotalita clarkei"
"302","T320","F47648",28.8178035735124,23.8,"Globoturborotalita ouachitaensis"
"303","T321","F15160",27.4481028185482,23.8,"Globoturborotalita gnaucki-Ciperoella anguliofficinalis"
"304","T323","F46568",28.4751889045404,16.3,"Globoturborotalita labiacrassata"
"305","T328","F36144",1.44152933877439,0,"Globigerinoides conglobatus"
"306","T33","N26",15.15,4.8,"Globorotalia challengeri-Globorotalia juanai"
"307","T330","F37322",1.73203770008393,1.3,"Globigerinoides obliquus"
"308","T331","F36513",2.50449971878901,1.6,"Globigerinoides extremus"
"309","T333","F36885",13.7512251739553,12.1,"Globigerinoides mitra"
"310","T335","F38409",0.459622222861665,0,"Globigerinoides elongatus-Globigerinoides ruber-Globigerinoides seigliei"
"311","T338","F62148",0.517449305062182,0,"Trilobatus bisphericus-Trilobatus sicanus-Praeorbulina curva-Praeorbulina glomerosa-Praeorbulina circularis-Orbulina suturalis-Orbulina universa"
"312","T340","F38963",2.46404211132206,2,"Globigerinoidesella fistulosa"
"313","T341","F86058",0.00579333648085594,0,"Trilobatus sacculifer-Trilobatus praeimmaturus-Trilobatus subsacculifer"
"314","T343","N342",21.1,16.4,"Globigerinoides italicus"
"315","T346","F72491",6.42878076892259,3.6,"Sphaeroidinellopsis kochi"
"316","T347","F72240",1.96639555378119,0,"Sphaeroidinellopsis seminulina-Sphaeroidinellopsis paenedehiscens-Sphaeroidinella dehiscens"
"317","T350","F47682",0.147534813969396,0,"Globoturborotalita rubescens"
"318","T351","F47770",0.745271475152113,0,"Globigerinoides tenellus"
"319","T353","F35803",7.87045772346202,2.3,"Globigerinoides bollii-Globoturborotalita kennetti"
